url_path,views_total,views_unique
/vandan-revanur/pychemovality/blob/master/docs/fortran_compilation_instructions.md,12,3
/vandan-revanur/pychemovality,9,7
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/GEPOL93_modified.FOR,6,2
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,6,2
/vandan-revanur/pychemovality/tree/master/pychemovality,4,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/blob/master/fortran_compilation_instructions.md,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/constants.py,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fileoperations.py,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,2,1
