url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,8,1
/vandan-revanur/pychemovality,7,7
/vandan-revanur/pychemovality/blob/master/pychemovality/classes.py,4,1
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,4,1
/vandan-revanur/pychemovality/tree/master/pychemovality/fortran,3,1
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/fortran/GEPOL93_modified.FOR,2,1
/vandan-revanur/pychemovality/blob/master/pychemovality/__main__.py,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,2,1
