url_path,views_total,views_unique
/vandan-revanur/pychemovality,18,5
/vandan-revanur/pychemovality/actions,5,1
/vandan-revanur/pychemovality/actions/workflows/github-repo-stats.yml,5,1
/vandan-revanur/pychemovality/blob/master/LICENSE.txt,2,2
/vandan-revanur/pychemovality/tree/master/pychemovality,2,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,2,1
/vandan-revanur/pychemovality/blob/master/.github/workflows/github-repo-stats.yml,2,1
/vandan-revanur/pychemovality/compare/github-repo-stats,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats,2,1
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,2,1
